Temps	Accompagnateurs
27.050832425389	inconnus
14.9846756046468	inconnus
26.1862683997231	inconnus
11.9202695855132	inconnus
16.4915034666547	inconnus
13.0001433472696	inconnus
5.15395663238821	inconnus
27.6473812972852	inconnus
18.4612125980613	inconnus
5.27170959856091	inconnus
23.5249138092529	inconnus
4.42898511511368	inconnus
9.38987816432242	inconnus
19.8814557169192	inconnus
13.3982001041925	inconnus
20.3944164140957	comperes
13.7553447897555	comperes
30.0608300661499	comperes
34.2078718866473	comperes
23.9550066875194	comperes
35.884282066815	comperes
35.7806190027955	comperes
24.7344903518232	comperes
42.1394393405981	comperes
18.3697925355047	comperes
12.493322702223	comperes
33.201280791256	comperes
26.8018449579075	comperes
27.4909571041537	comperes
40.7796956161606	comperes
