Temps	Milieu
27.050832425389	ferme
14.9846756046468	ferme
26.1862683997231	ferme
11.9202695855132	ferme
16.4915034666547	ferme
13.0001433472696	ferme
5.15395663238821	ferme
27.6473812972852	ferme
18.4612125980613	ferme
5.27170959856091	ferme
23.5249138092529	ferme
4.42898511511368	ferme
9.38987816432242	ferme
19.8814557169192	ferme
13.3982001041925	ferme
20.3944164140957	ouvert
13.7553447897555	ouvert
30.0608300661499	ouvert
34.2078718866473	ouvert
23.9550066875194	ouvert
35.884282066815	ouvert
35.7806190027955	ouvert
24.7344903518232	ouvert
42.1394393405981	ouvert
18.3697925355047	ouvert
12.493322702223	ouvert
33.201280791256	ouvert
26.8018449579075	ouvert
27.4909571041537	ouvert
40.7796956161606	ouvert
