"Profondeur"	"Nombre.espece"	"Site"
20.3806658408012	4	"foret"
27.0747427712153	0	"foret"
32.5878821624125	4	"foret"
18.4786811408487	1	"foret"
31.9578282628638	3	"foret"
30.3012394460163	1	"foret"
30.8541773161227	3	"foret"
41.1661021271527	2	"foret"
17.8114258442201	2	"foret"
42.6736872208989	0	"foret"
22.5521840386486	3	"foret"
18.6878142916426	3	"foret"
22.8364150996702	4	"foret"
32.5265236964621	5	"foret"
31.520457066556	2	"foret"
26.9234357032158	2	"champ"
20.4698266909188	1	"champ"
23.5175718855153	1	"champ"
42.2431362428058	3	"champ"
31.9981160798297	3	"champ"
24.2151627814003	3	"champ"
20.5769926652246	3	"champ"
27.9627182033801	2	"champ"
13.3352515996984	0	"champ"
25.1554489084901	5	"champ"
22.589273392784	4	"champ"
41.6061577924134	1	"champ"
40.1206712493423	2	"champ"
29.2792152591344	3	"champ"
18.6321770190068	5	"champ"
