"la.profondeur";"Nombre.espece";"Site";"log.Profondeur";"Nombre.espece.bin"
26.9234357032158;2;"champ";3.29299712305257;"pauvre"
20.4698266909188;1;"champ";3.01895193314585;"pauvre"
23.5175718855153;1;"champ";3.15774788154114;"pauvre"
42.2431362428058;3;"champ";3.74344188481423;"pauvre"
31.9981160798297;3;"champ";3.46567702856135;"pauvre"
24.2151627814003;3;"champ";3.18697899817;"pauvre"
20.5769926652246;3;"champ";3.02417359073019;"pauvre"
27.9627182033801;2;"champ";3.33087213021468;"pauvre"
13.3352515996984;0;"champ";2.59041102507491;"pauvre"
25.1554489084901;5;"champ";3.22507452948034;"riche"
22.589273392784;4;"champ";3.11747516496854;"riche"
41.6061577924134;1;"champ";3.72824818016886;"pauvre"
40.1206712493423;2;"champ";3.69189169399421;"pauvre"
29.2792152591344;3;"champ";3.37687788747488;"pauvre"
18.6321770190068;5;"champ";2.92489003334234;"riche"
